Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Lions,14.8,26,385,1,5,2,78T,14,3
Redskins,13.3,46,610,2,8,3,69T,21,5
Raiders,11.4,29,330,1,3,1,75T,10,1
Bills,10.8,26,281,0,4,2,59,16,4
Cowboys,10.7,29,309,1,2,1,85T,12,2
Chargers,9.9,33,328,0,4,1,48,25,2
Bengals,9.7,29,280,1,4,1,78T,11,1
Packers,9.7,41,396,0,2,1,62,7,4
Steelers,9.6,39,373,1,5,1,40T,14,2
Giants,9.3,36,336,1,1,1,70T,10,5
Buccaneers,9.3,39,361,0,4,0,33,15,3
Rams,8.6,37,320,0,3,0,29,9,4
Dolphins,8.6,30,258,0,1,0,32,12,4
Seahawks,8.6,38,325,1,3,1,59T,20,2
Browns,8.1,31,251,0,2,0,31,10,2
Falcons,8,36,289,0,1,0,23,18,1
Eagles,7.8,53,416,0,2,1,40,9,4
49ers,7.6,42,320,0,3,0,24,15,4
Chiefs,7.6,34,258,0,1,0,25,6,3
Vikings,7.5,30,225,0,1,1,44,15,3
Cardinals,7.5,41,307,0,0,0,19,6,5
Bears,7.2,47,340,0,3,0,37,15,6
Saints,7.2,44,317,0,1,1,52,20,0
Broncos,6.9,41,284,0,1,0,20,17,4
Jets,6.8,23,157,0,1,0,25,10,2
Patriots,6.8,31,211,0,2,0,39,14,5
Oilers,6.8,36,244,0,4,0,29,11,7
Colts,6.3,27,171,0,1,0,22,14,2
