Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Cardinals,26.7,86,2296,1,68,9,98,0,3
Titans,26.1,47,1227,0,32,5,66T,0,1
Packers,24.5,64,1570,1,40,5,92T,0,1
Seahawks,24.2,80,1932,1,51,6,81,0,2
Raiders,23.9,56,1336,1,40,1,88,0,0
Saints,23.8,62,1473,0,40,4,68T,0,2
Eagles,23.3,53,1237,1,35,3,89,0,2
Lions,23.2,69,1600,0,42,6,70T,0,2
Buccaneers,22.8,55,1255,0,35,3,48T,0,2
Falcons,22.8,83,1890,3,43,5,100,0,2
Broncos,22.4,66,1477,1,42,2,87,0,2
Ravens,22.3,45,1005,0,31,2,41,0,2
Bears,22.2,68,1512,0,42,0,38T,0,1
Dolphins,22.2,51,1133,0,31,3,56T,0,0
Rams,22.1,80,1771,1,39,6,103,0,4
Vikings,21.7,67,1456,0,41,0,38T,0,0
Chargers,21.6,83,1792,1,44,3,93,0,3
Jaguars,21.3,62,1323,0,43,1,47,0,3
Cowboys,21.1,69,1456,0,39,2,90T,0,3
Panthers,21.1,55,1160,1,33,2,92,0,3
Steelers,21,58,1221,1,35,2,98,0,3
Jets,21,74,1552,1,41,4,97,0,2
Chiefs,20.9,70,1466,0,38,0,38T,0,2
Patriots,20.9,64,1335,0,34,3,47T,0,1
Giants,20.8,53,1102,1,26,4,47,0,2
Redskins,20.6,63,1301,0,37,2,49T,0,1
Browns,20.1,85,1710,0,40,2,62,0,1
Colts,19.9,58,1155,0,31,1,48,0,1
49ers,19.1,68,1299,0,25,1,68T,0,2
Bengals,18.5,77,1423,0,31,2,50T,1,4
Bills,18.3,69,1262,0,29,0,37T,0,1
