Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Cowboys,241,88,12,4,149,50.7,115,22.3,1062
Saints,229,106,19,5,177,56.4,100,22.3,1019
Bears,228,77,23,15,143,52.8,103,23.2,1001
Bengals,228,102,11,5,181,55.9,101,21,1038
Lions,228,80,20,8,152,47.6,69,18.4,975
Patriots,227,84,14,6,177,55.3,91,19.2,1042
Steelers,227,82,22,11,174,56.9,77,17.3,1020
Ravens,226,72,11,7,121,55.8,114,20.6,1009
Cardinals,222,83,22,10,147,48.5,80,19.8,981
Buccaneers,220,78,15,8,190,51.5,86,20.4,1036
Panthers,219,78,11,6,146,54.1,114,21.8,1008
Vikings,219,102,20,8,194,58.3,124,25.2,1055
Giants,218,73,17,2,184,53.5,89,23,1047
Colts,217,91,17,11,212,55.6,104,23,1041
Raiders,217,66,25,14,140,50.4,98,23.2,987
Jaguars,216,80,26,13,163,53.8,118,24.5,1024
Rams,216,92,15,7,211,56,97,23.6,1054
49ers,215,86,19,5,172,57.5,117,23.4,1038
Redskins,215,73,14,8,156,55.1,95,22.6,991
Bills,212,67,25,13,150,51.2,96,22.5,980
Broncos,211,82,13,3,162,57.9,133,24.5,1047
Titans,211,86,14,6,210,66.7,83,17.1,1013
Packers,207,85,7,4,166,53.6,127,25,999
Jets,206,82,13,6,181,58,78,19.1,936
Dolphins,205,67,10,5,144,56,99,20.3,968
Seahawks,205,96,7,2,190,59.9,121,26.7,1017
Texans,204,63,14,9,127,51.2,86,20.4,896
Browns,202,74,18,6,153,48.9,91,22.1,961
Chiefs,201,84,10,6,201,59.3,120,26.9,1003
Chargers,197,62,19,10,146,49.2,117,28.1,971
Falcons,194,58,11,6,127,55.2,99,22.8,930
Eagles,190,69,7,3,156,55.9,105,25.2,944
