Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Seahawks,536,2579,4.8,16,14,2,77,128,23.9,7
Patriots,523,2184,4.2,25,11,2,47,151,28.9,6
Redskins,519,2709,5.2,22,16,2,76,144,27.8,13
Texans,508,2123,4.2,19,15,2,81,114,22.4,5
Chiefs,500,2395,4.8,9,13,5,91T,118,23.6,11
Jets,494,1896,3.8,12,5,1,61,102,20.6,9
Niners,492,2491,5.1,17,17,2,50T,126,25.6,11
Vikings,486,2634,5.4,16,33,8,82T,113,23.2,9
Broncos,481,1832,3.8,12,7,0,31,112,23.3,8
Bears,470,1970,4.2,11,11,2,46T,99,21.1,4
Panthers,462,2088,4.5,21,17,4,72T,123,26.6,8
Ravens,444,1901,4.3,17,10,3,78,98,22.1,4
Bills,442,2217,5,12,15,5,62,103,23.3,7
Colts,440,1671,3.8,11,5,0,26,110,25,5
Dolphins,440,1802,4.1,15,13,2,65,93,21.1,13
Packers,433,1702,3.9,9,8,1,41,85,19.6,4
Bengals,430,1745,4.1,11,13,3,48,95,22.1,4
Buccaneers,416,1837,4.4,13,12,5,70T,89,21.4,3
Eagles,413,1874,4.5,10,14,2,65,111,26.9,18
Steelers,412,1537,3.7,8,8,0,34T,80,19.4,8
Chargers,411,1461,3.6,4,4,1,52,81,19.7,5
Rams,410,1714,4.2,5,10,3,53,79,19.3,5
Giants,409,1862,4.6,18,13,2,52T,103,25.2,6
Browns,396,1593,4,12,7,0,35T,71,17.9,8
Lions,391,1613,4.1,17,4,1,67,84,21.5,7
Falcons,378,1397,3.7,12,7,2,43,70,18.5,4
Titans,378,1687,4.5,10,13,3,94T,70,18.5,6
Raiders,376,1420,3.8,4,8,3,64,72,19.2,4
Saints,370,1577,4.3,10,11,3,56T,64,17.3,0
Jaguars,358,1369,3.8,5,6,1,59,76,21.2,8
Cowboys,355,1265,3.6,8,6,1,48T,76,21.4,6
Cardinals,352,1204,3.4,10,9,3,52,58,16.5,6
