Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Cowboys,92,5962,85,92.4,5,24.2,0,0,1,0
Ravens,84,5414,69,82.1,14,23.8,0,0,0,0
Dolphins,84,5447,72,85.7,12,29.6,0,0,0,1
49ers,83,5259,50,60.2,30,23.4,0,0,2,0
Bills,80,5007,43,53.8,25,20.5,1,0,1,0
Colts,79,5047,59,74.7,14,25.8,0,0,0,0
Browns,76,4833,50,65.8,18,17.4,0,0,0,0
Lions,76,4759,48,63.2,23,20.6,2,0,0,0
Rams,76,4825,64,84.2,11,26.9,1,0,0,0
Eagles,75,4818,60,80,14,29.8,1,0,0,0
Jaguars,72,4576,54,75,13,26.1,1,0,0,1
Saints,72,4672,61,84.7,11,20.2,0,0,0,0
Bears,71,4473,57,80.3,11,23.9,2,0,0,0
Seahawks,71,4530,49,69,18,21.6,0,0,1,0
Broncos,70,4408,60,85.7,7,20.9,3,0,0,0
Texans,70,4437,44,62.9,23,22,0,0,0,0
Chiefs,70,4590,61,87.1,9,26.9,0,0,0,0
Bengals,69,4347,53,76.8,11,18.4,2,0,0,0
Buccaneers,69,4378,49,71,17,17.9,0,0,0,0
Packers,68,4310,34,50,25,22.3,1,0,1,0
Vikings,68,4348,51,75,15,23.7,1,0,1,0
Chargers,66,4253,56,84.8,9,19.2,0,0,0,0
Falcons,64,4157,53,82.8,9,23,0,0,1,0
Cardinals,63,3863,52,82.5,5,21.4,4,1,0,0
Titans,62,3868,32,51.6,27,23,2,0,0,0
Raiders,62,3993,39,62.9,23,22.4,0,0,0,0
Commanders,61,3809,58,95.1,0,0,3,0,1,0
Steelers,59,3758,41,69.5,15,26.3,0,0,0,0
Jets,57,3629,49,86,5,16.4,1,0,0,0
Panthers,54,3239,32,59.3,17,23.1,4,0,1,0
Patriots,49,3088,34,69.4,14,23.1,1,0,0,0
Giants,49,3138,36,73.5,12,25.4,0,0,1,0
