Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Browns,202,58,13,5,71,19.2,875
Panthers,189,71,9,6,108,24.3,890
Giants,195,73,17,10,118,27.6,965
Buccaneers,195,82,23,10,87,24.3,961
Bears,199,87,22,10,70,20.8,916
Texans,204,79,24,14,96,23.4,964
Colts,212,79,23,15,114,24.5,1007
Saints,207,72,24,10,96,22.8,944
Chargers,199,76,30,17,96,23.6,987
Cowboys,188,73,30,14,98,23.8,898
Jets,218,84,12,7,99,21.2,971
Steelers,211,84,17,7,87,21,968
Rams,202,78,26,14,92,24,953
Eagles,209,97,32,17,88,25.9,967
Lions,175,66,23,13,81,22.2,905
Cardinals,184,87,14,6,127,26.8,960
Falcons,202,68,20,9,83,19.4,952
Vikings,209,86,22,16,90,23.4,966
Packers,203,86,27,13,115,25.4,963
Jaguars,206,77,34,18,89,23.4,970
Patriots,207,76,18,10,81,20.2,960
Commanders,207,84,19,12,103,25,980
Chiefs,189,68,22,10,92,24.9,894
Broncos,178,58,32,15,103,24.9,954
Bengals,190,82,13,5,118,28.8,949
Bills,195,75,19,10,84,23,914
Titans,206,78,18,12,91,21.2,969
Raiders,202,84,22,11,104,24.2,977
Ravens,220,79,28,11,82,23.4,981
Seahawks,205,96,21,9,116,26.9,1007
Dolphins,194,71,26,12,90,24.7,925
49ers,191,76,23,11,85,26.6,933
